name,node_ID,width_threshold,node_Area,node_Degree,degree_Asymmetry,subtree_degree_Asymmetry,area_Asymmetry,subtree_area_Asymmetry,node_HS,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,455,0,0.127164902,1,0,0,0,0,1,0.127164902,1.41943296,0.530558942,0.322994952,0.793337239,-75.0899497,0.793135433,1.642623014,15.84391528,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,456,0,0.089071246,1,0,0,0,0,1,0.089071246,1.22279872,0.494926378,0.23726408,0.877600515,1.793655769,0.748578657,2.085972636,16.78697421,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,457,0,0.164281797,1,0,0,0,0,1,0.164281797,1.7154687,0.545375729,0.41554801,0.647638066,-86.69216494,0.70150975,1.312425316,17.91332283,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,458,0,0.17074702,1,0,0,0,0,1,0.17074702,1.69704106,0.605964131,0.388525518,0.767399569,7.14249252,0.745037783,1.559650792,16.86675617,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,459,0,0.119862455,1,0,0,0,0,1,0.119862455,1.46764354,0.490272975,0.341303449,0.717896518,-29.98626884,0.699281208,1.43647237,17.97041087,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,460,0,0.10679247,1,0,0,0,0,1,0.10679247,1.38689474,0.583142089,0.241781194,0.909995567,24.83320532,0.697691601,2.411858756,18.01135429,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,461,0,0.115583314,1,0,0,0,0,1,0.115583314,1.49856542,0.588179438,0.267540323,0.890562068,-23.2135594,0.646775548,2.19847024,19.42926051,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,462,0,0.101769131,1,0,0,0,0,1,0.101769131,1.31898118,0.523698828,0.259701651,0.868380286,19.90784136,0.735103911,2.016540232,17.09468611,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,463,0,1.370162279,1,0,0,0,0,1,1.370162279,10.00366466,4.783921817,0.529264481,0.993861215,-78.28981322,0.172053543,9.038811386,73.03755778,463.2583115,2.170061111,202.6463184,0.437436984,1,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,464,0,0.142513994,1,0,0,0,0,1,0.142513994,1.5960164,0.538536062,0.36817098,0.729808635,-16.96525737,0.703060462,1.462733597,17.87381214,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
