clade,code,rmin,PC1,PC2,PC3
monocots,Als_lig,0.01,0.28774579851357485,-1.4101174242782974,4.075600318322545
monocots,Als_lig,0.03,0.3890083939848875,-1.1671602764915834,3.9799152270252116
monocots,Als_lig,0.04,0.8534695044949505,-1.2419046370188105,2.744820483778085
monocots,Als_lig,0.05,1.3921571267452069,-2.489972157732394,0.6272371982516324
basal angiosperms,Ane_cal,0.01,1.0871463743211063,2.280560730564693,1.6790117355781327
basal angiosperms,Ane_cal,0.02,1.11764595703938,2.1817798990105235,1.5439988928491375
basal angiosperms,Ane_cal,0.03,1.1921680555698462,1.926375062180135,1.208230957483699
basal angiosperms,Ane_cal,0.04,1.3045425410306306,1.476410665107412,0.6680034113294365
basal angiosperms,Ane_cal,0.05,1.4179202920913043,0.9290744067919119,0.050239377070411796
basal angiosperms,Ane_cal,0.060000000000000005,1.449762258841491,0.408031613659382,-0.3437621772653552
basal angiosperms,Ane_cal,0.06999999999999999,1.496629329951479,0.20521141763720774,-0.5549868166982703
basal angiosperms,Ane_cal,0.08,1.4950743684496508,0.20775902523244993,-0.5221380295575329
basal angiosperms,Ane_cal,0.09,1.4862809793796825,0.23978419401391715,-0.4688234028626359
basal angiosperms,Ane_cal,0.09999999999999999,1.5052732938134936,0.3415687443734594,-0.4427386936255322
basal angiosperms,Ane_cal,0.11,1.473027955881064,0.2887371901685529,-0.3926778714068524
basal angiosperms,Ane_cal,0.12,1.6113203090787918,0.6440268742617575,-0.5051781776244022
basal angiosperms,Ane_cal,0.13,1.623915761027469,0.5966823802228992,-0.5722171797323148
basal angiosperms,Ane_cal,0.14,1.6194090469480031,0.6132035243910073,-0.545967183514513
basal angiosperms,Ane_cal,0.15000000000000002,1.3408155194699733,-0.10670263316237355,-0.31407012465744555
basal angiosperms,Ane_cal,0.16,1.2194118377052106,-0.59099589907595,-0.33409804181573755
basal angiosperms,Ane_cal,0.17,1.7378749764290726,0.1630070114411617,-1.165724331395164
basal angiosperms,Ane_cal,0.18000000000000002,1.742477981858901,0.14563032792554254,-1.1904726800251373
basal angiosperms,Ane_cal,0.21000000000000002,1.7484306280179231,0.12309745593938126,-1.2199766418522886
asterids,Arg_spi,0.01,-0.3372562951034579,3.3019070228892273,1.980128340911142
asterids,Arg_spi,0.02,-0.3040646398707154,3.1814581403128006,1.8223195812022883
asterids,Arg_spi,0.03,-0.18559039332615324,2.6805214967348165,1.2119820900870144
asterids,Arg_spi,0.04,-0.10921106342906158,1.3589091101485167,0.20507036185149105
asterids,Arg_spi,0.05,-0.02531754852132037,0.9687213330936066,-0.23915158904192668
asterids,Arg_spi,0.060000000000000005,0.024009911880358198,0.7601504210940773,-0.4703055479947608
asterids,Arg_spi,0.06999999999999999,0.048478543465689944,0.6356018934273198,-0.605109747987874
asterids,Arg_spi,0.15000000000000002,0.04596515791016345,0.6390857442411574,-0.5656566947548616
asterids,Arg_spi,0.17,0.043421158790754394,0.6454144139095587,-0.5429557531043367
asterids,Arg_spi,0.19,0.047698914334003,0.6285686510494971,-0.5632013386668948
asterids,Arg_spi,0.21000000000000002,0.10924734653752069,0.39058040193725074,-0.8954117782921867
asterids,Arg_spi,0.25,0.15292610485359873,0.22123835637713096,-1.1141926743631987
basal angiosperms,Ari_bae,0.01,-0.8187075720148357,1.8638330361603144,1.8878691145846658
basal angiosperms,Ari_bae,0.02,-0.7296663676868717,1.5589359637602496,1.4733136718524393
