spp_code,species,canonical_author,genus,family,order,clade,accession_number,ucbg_bed,ucbg_area,growth_form,venation_type,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_M_imputed,SWP_L,SWP_L_imputed,SWS_M,SWS_M_imputed,SWS_L,SWS_L_imputed,e_W,e_W_imputed,e_L,e_L_imputed,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Dkleaf_mean_imputed,Phe,Phe_imputed,Kleaf_max,P50,P50_imputed,P88,P88_imputed,ISI
Cel_ten,Celtis tenuifolia,Nutt.,Celtis,Cannabaceae,Rosales,rosids,820564,304,Eastern North America,tree,pinnate,3.331101658,0.682295919,0.159196746,0.690050214,0.961188504,0.999657753,0.600159543,1.333931556,0.710318019,54.91,258.13,258.13,27.97,27.97,419.46,419.46,3706.13,3706.13,1.87,1.87,NA,22.44156845,-54.21,10.97,-21.62,-21.62,1.52,1.52,0.52,NA,0.663089749,NA,1.744566872,0.38
Chi_nit,Chimonanthus nitens,Oliv.,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,760477,245C,Asia,tree,pinnate,2.005548614,0.223700642,0.068241093,0.725386569,0.988932437,0.998224943,0.573706049,2.849274668,1.72334244,57.23,205.09,205.09,59.49,59.49,2157.35,2157.35,14912.49,14912.49,11.47,11.47,46.27,46.27,-76.97,-69.35,-73.16,-73.16,2.47,2.47,3.13,0.37,0.37,1.35,1.35,0.35
Chl_spi,Chloranthus spicatus,(Thunb.) Makino,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,870468,Greenhouse 2,Tropical house,shrub,pinnate,2.826741337,0.118129441,0.063564413,0.811610561,0.989999895,0.994591769,0.842814677,2.471531835,0.975752333,42.03,204.68,204.68,180.25,180.25,695.86,695.86,5481.03,5481.03,1.76,1.76,33.89,33.89,-61.87,1.04,-30.415,-30.415,1.93,1.93,0.82,NA,0.90960668,NA,2.29727797,0.38
Cis_ant,Cissus antarctica,Vent.,Cissus,Vitaceae,Vitales,rosids,20010620,505,Australasia,climbing,pinnate,6.187800644,0.589410194,0.092632758,0.675903846,0.976237837,0.993736029,0.679371958,1.179830975,0.774254688,87.08,125.1,125.1,153.1,153.1,719.63,719.63,6570.09,6570.09,1.97,1.97,7.21,7.21,-58.35,-72.28,-65.315,-65.315,3.79,3.79,0.33,NA,1.122763936,NA,2.627394245,0.36
Cis_pop,Cistus populifolius,L.,Cistus,Cistaceae,Malvales,rosids,20041097,700B,Mediterranean,shrub,pinnate,7.999399303,1.257282475,0.187668922,0.707967334,0.944562885,0.993199625,0.633235026,0.970518278,1.031385254,98.63,100.7,100.7,88.45,88.45,604.2,604.2,3883,3883,2.15,2.15,NA,29.20102671,235.79,88.1,161.945,161.945,7.29,7.29,0.44,NA,1.09066254,NA,2.904571248,0.41
Cit_mon,Citharexylum montevidense,(Spreng.) Moldenke,Citharexylum,Verbenaceae,Lamiales,asterids,20140599,653,South-America,tree,pinnate,5.534097276,0.327343237,0.050225733,0.68368069,0.988132573,0.992804663,0.668518463,2.836950052,2.707220789,176.02,856.42,856.42,272.37,272.37,3478.44,3478.44,25410.3,25410.3,52.97,52.97,64.7,64.7,100.51,-84.15,8.18,8.18,4.8,4.8,2.58,NA,1.106350965,NA,3.553950125,0.35
Clu_ala,Clusia alata,Planch. & Triana,Clusia,Clusiaceae,Malpighiales,rosids,891280,359,Mexico/Central America,tree,pinnate,2.73829222,1.843915251,0.182257492,0.794727612,0.861540447,1,0.649079698,1.095961204,1.959861997,181.47,136.84,136.84,94.31,94.31,2537.08,2537.08,6656.66,6656.66,6.68,6.68,16.92,16.92,-94.61,-94.42,-94.515,-94.515,3.4,3.4,15.69,NA,0.801370931,NA,2.180738498,0.23
Cne_tri,Cneorum tricoccon,L.,Cneorum,Rutaceae,Sapindales,rosids,20041196,702,Mediterranean,shrub,pinnate,6.908238904,0.234111251,0.129561479,0.681440421,1,1,0.839533522,4.520235604,4.460531388,156.15,162.82,162.82,51.39,51.39,5539.32,5539.32,2005.3,2005.3,13.88,13.88,NA,58.92358599,-24.94,-53.79,-39.365,-39.365,4.57,4.57,25.15,NA,1.080518568,NA,2.389012841,0.58
Com_ery,Combretum erythrophyllum,Sond.,Combretum,Combretaceae,Myrtales,rosids,730581,144,Africa,tree,pinnate,2.607179286,0.795290667,0.136261647,0.714980042,0.942082836,0.989043883,0.824069837,1.528189219,1.738512438,46.86,729.01,729.01,110.98,110.98,1796.08,1796.08,7112.13,7112.13,1.88,1.88,NA,22.81242221,-96.16,-96.04,-96.1,-96.1,4.92,4.92,5.99,0.49,0.49,1.51,1.51,0.44
Com_umb,Comandra umbellata,(L.) Nutt.,Comandra,Comandraceae,Santalales,rosids,941236,23B,California,shrub,pinnate,6.052394198,0.376647112,0.085067421,0.739616425,0.942549252,1,1.103402325,1.377419953,1.464862522,148.07,12.75,12.75,7.57,7.57,47.89,47.89,249.96,249.96,NA,33.81899895,NA,44.01337865,-20.38,-33.94,-27.16,-27.16,6.64,6.64,25.45,NA,0.769370399,NA,1.790702354,0.5
Cor_bud,Corokia buddleioides,A.Cunn.,Corokia,Argophyllaceae,Asterales,asterids,505941025,505,Australasia,shrub,pinnate,4.916005382,0.130254863,0.032060574,0.69981946,1,1,0.933349834,3.913112983,3.91670318,137.81,235.3,235.3,98.61,98.61,494.29,494.29,2739.28,2739.28,13.55,13.55,NA,101.7580456,-16.86,292.2,137.67,137.67,5.87,5.87,2.11,NA,0.993318912,NA,2.658156004,0.39
Cor_lae,Corynocarpus laevigata,J.R.Forst. & G.Forst.,Corynocarpus,Corynocarpaceae,Cucurbitales,rosids,770128,508,Australasia,tree,pinnate,4.351804922,0.367220206,0.052444709,0.672539523,0.973498914,0.987704334,0.925418374,1.389030717,1.394976245,99.85,635.89,635.89,136.09,136.09,1258.42,1258.42,6161.07,6161.07,3.95,3.95,13.73,13.73,-67.57,-79.64,-73.605,-73.605,1.09,1.09,2.07,0.51,0.51,1.88,1.88,0.3
