functional_trait,pairwise_interaction,H_statistic
SWP_M,VD_medium:ER_large,0.018925497
SWS_L,ER_medium:ER_large,0.017500519
SWP_M,VD_small:ER_large,0.017312155
e_W,MST_medium:VD_small,0.017230348
e_W,VD_large:ER_large,0.016442019
e_L,MST_small:ER_large,0.015968975
e_L,VD_small:ER_large,0.015669323
e_W,ER_small:VD_small,0.015385888
e_L,MST_medium:VD_small,0.014931339
e_W,VD_small:MST_medium,0.014900886
e_L,ER_large:VD_small,0.014656992
e_W,VD_medium:VD_small,0.014555941
e_L,ER_small:VD_small,0.012170003
SWS_L,clade2:VD_medium,0.011671611
SWS_L,clade2:ER_large,0.011080802
e_L,ER_small:MST_large,0.010482109
e_W,ER_medium:VD_small,0.008002904
SWP_M,ER_medium:MST_large,0.004872898
SWS_L,clade2:MST_small,0.004748255
Phe,ER_medium:VD_large,5.49E-15
Phe,VD_medium:VD_large,5.30E-15
Phe,MST_large:VD_large,4.89E-15
P88,clade2:VD_medium,4.14E-15
P88,ER_medium:VD_small,3.03E-15
Phe,MST_large:MST_medium,2.62E-15
LMA,ER_small:ER_medium,2.55E-15
SWP_M,clade2:VD_medium,2.33E-15
P88,MST_small:VD_small,2.15E-15
Phe,clade2:MST_medium,2.13E-15
Phe,MST_small:VD_large,2.01E-15
Phe,ER_medium:MST_medium,1.65E-15
Kleaf_max,clade2:VD_medium,1.59E-15
SWS_M,VD_medium:MST_small,1.59E-15
SWP_M,ER_medium:VD_medium,1.50E-15
SWS_M,VD_small:MST_medium,1.49E-15
e_L,clade2:VD_small,1.48E-15
LMA,MST_small:VD_small,1.47E-15
LMA,ER_small:VD_small,1.43E-15
SWS_L,ER_medium:VD_medium,1.29E-15
e_L,VD_small:MST_large,1.28E-15
LMA,MST_large:ER_medium,1.25E-15
Phe,MST_large:VD_small,1.20E-15
Dkleaf_mean,clade2:VD_medium,1.20E-15
LMA,MST_large:MST_medium,1.17E-15
SWP_M,clade2:ER_large,1.09E-15
LMA,VD_medium:VD_small,1.08E-15
SWS_M,VD_large:MST_small,1.03E-15
Phe,ER_large:VD_large,1.01E-15
LMA,MST_small:ER_medium,9.78E-16
Dkleaf_mean,MST_small:VD_medium,9.52E-16
e_L,clade2:ER_large,9.07E-16
SWS_M,VD_large:MST_medium,8.71E-16
SWS_M,ER_small:MST_medium,8.59E-16
e_L,VD_medium:MST_large,8.42E-16
SWP_M,VD_large:ER_large,8.05E-16
e_L,VD_large:MST_large,7.70E-16
Dkleaf_mean,ER_small:MST_medium,7.70E-16
Kleaf_max,VD_large:VD_small,7.50E-16
Phe,clade2:VD_small,7.39E-16
Dkleaf_mean,MST_large:ER_medium,6.90E-16
Phe,ER_large:VD_small,6.47E-16
Phe,ER_medium:VD_small,5.86E-16
SWP_M,MST_small:ER_large,5.32E-16
SWS_M,ER_large:MST_medium,5.01E-16
Dkleaf_mean,MST_large:VD_medium,4.37E-16
SWS_M,VD_large:MST_large,3.37E-16
e_L,MST_small:MST_large,3.20E-16
Kleaf_max,MST_small:VD_medium,3.09E-16
Dkleaf_mean,clade2:ER_medium,2.75E-16
e_L,MST_medium:MST_large,2.57E-16
e_L,MST_large:VD_small,2.03E-16
SWS_M,clade2:MST_large,1.82E-16
SWS_M,ER_large:MST_large,1.73E-16
SWS_M,clade2:MST_medium,7.74E-17
SWS_M,ER_medium:MST_large,0
P88,ER_small:VD_small,0
P88,ER_small:ER_large,0
P88,ER_small:VD_medium,0
