"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.1528	0.3603	0.4138	-0.1235	0.3797	0.3036	-0.0812	0.8401	1.084	-0.6526	-0.1499	0.0629	-0.7599	-0.041
-1.0896	-0.1622	0.2252	-0.3197	0.7119	7.2254	9.6402	-0.2732	0.5318	-0.5603	9.0454	6.53	0.9844	-0.852
-0.0245	0.53	0.9029	-0.5266	0.6405	2.0614	1.0789	-0.0568	-0.7549	-0.9406	0.4127	0.051	-0.1045	-0.0353
-0.7209	0.3687	0.9554	-0.0112	-0.4908	1.2194	0.3504	-0.4403	-0.4899	0.4095	1.0353	0.5104	0.5167	0.394
0.7933	0.9527	0.8555	0.5748	0.5994	-1.0267	-2.1438	-0.7222	-1.0272	0.9575	-2.0436	-1.6247	0.5053	-0.3165
0.1582	0.7939	0.2289	0.5775	0.6201	-0.0392	-0.2073	0.6805	1.4656	-0.059	0.9256	1.1169	1.0004	0.6989
1.0625	0.8039	0.1356	0.9734	0.1856	0.1912	0.0612	0.098	1.275	1.0828	1.4249	1.4948	1.044	-0.2845
-0.3228	-0.2192	-0.8438	-0.1184	0.0133	-1.6891	-1.3598	1.6491	2.0743	-1.3928	0.2601	0.8741	1.1314	-1.2282
1.2602	0.1823	0.7652	1.527	0.6372	-0.1879	-0.5194	0.8907	0.7966	0.0892	3.0521	3.0217	0.1847	0.4777
-2.264	-0.3793	0.7882	-0.374	-2.0952	-0.4335	-1.6948	-0.3664	-1.1174	-0.7169	1.3788	0.6669	0.9488	-1.3601
-1.3692	-0.7694	0.3666	0.139	1.14	-1.209	0.9006	1.1244	1.1713	0.7349	-0.5252	-0.1462	-0.3909	0.7699
-0.3553	1.1931	1.073	-0.6846	0.4433	-0.8973	-2.7156	-0.4051	-0.41	1.317	-5.2319	-4.316	1.2875	0.7606
-6.4589	1.1607	1.5388	1.2507	-4.8846	1.4075	1.5313	-4.1759	-2.9569	-0.7158	8.684	4.8046	-0.2861	-1.2319
-0.425	-2.2108	-2.2773	-0.189	-2.0759	-0.1754	1.4131	-0.0422	-0.4391	-1.5483	3.6856	2.8778	-0.8525	-0.1293
0.6611	0.4922	0.3802	0.0048	-0.7769	1.1803	-0.4497	-0.8357	-0.8208	0.7007	-0.1338	-0.3396	0.4398	1.1539
1.4416	0.9463	0.7565	3.1597	0.252	0.6148	0.3341	-0.1266	0.0914	-0.8644	8.5721	7.2671	0.5749	0.4014
-1.9344	-1.9892	0.7459	-0.9202	0.2218	0.5812	2.3426	0.874	-0.5656	-0.2073	0.4614	0.0691	-1.9503	-0.2188
-0.7976	-1.5187	-1.9844	-1.6801	-1.0306	-0.5821	0.445	-0.0422	-0.1076	0.2561	-2.8015	-2.3395	1.0209	-0.0317
0.2946	0.8143	0.6279	0.3639	-0.013	-0.3711	-1.494	-0.4629	-0.3023	0.5193	-1.3771	-1.1727	-0.3858	1.5578
0.0968	0.8542	-0.7928	-4.4611	0.9823	-0.1521	-2.0828	0.117	0.2527	0.5342	-14.2987	-11.7659	0.1751	-0.2095
-0.4848	-0.3444	-0.1586	-0.053	0.1663	-4.1568	-4.892	1.1283	0.4295	-0.2934	-4.7164	-3.1758	0.1175	2.1157
-0.5619	0.179	0.2126	0.7733	-0.062	0.4931	1.066	1.2332	2.2816	-0.4099	3.9813	3.6088	0.8864	0.0793
-1.6091	-0.0216	0.6675	-0.0731	0.2506	-0.8928	-0.5888	0.4622	0.2622	0.0162	-0.2459	-0.1659	0.9225	0.0614
-1.2603	-2.2665	-2.3373	-0.8671	-0.7663	0.0632	2.7939	0.4026	-0.0202	-1.3672	2.4761	1.9346	0.4092	-0.5192
-0.4761	2.255	1.9162	0.067	1.4955	2.23	0.4105	0.5544	0.7799	-1.8173	1.2631	0.9167	0.3419	0.5006
-1.5428	-1.08	-0.2627	-1.7299	-1.7544	0.9197	0.9785	0.3464	0.2631	-1.0616	-0.7019	-1.0482	-2.0867	-1.5035
1.0373	0.7513	-1.5021	-0.4811	-0.2948	0.2001	-0.7751	0.25	1.4081	-0.6858	-1.5562	-0.9339	1.0048	1.9066
-0.2973	-0.5605	0.1113	-0.5554	-0.0406	0.6187	-0.1876	0.7066	-0.1481	-0.5469	-0.1379	0.0081	0.8592	1.8159
-0.5964	-0.9853	0.0049	-0.4266	-0.285	0.8944	1.3	0.0633	-0.7569	-0.2542	1.1164	0.6949	-0.1678	0.3127
0.7384	-0.0093	1.1041	3.153	0.0741	-1.2909	-0.9248	0.8828	1.0646	0.3998	6.8457	6.2244	0.2356	1.0029
0.4026	0.1604	0.2433	-0.0932	-0.2783	-1.0204	-2.4756	1.2343	1.22	-0.3815	-0.906	-0.1848	1.105	-0.5212
1.0815	-3.609	0.4915	-0.6391	-1.2498	3.2753	5.9119	0.2119	0.3954	6.7373	1.1916	0.886	-0.1818	-0.732
-0.6744	-0.6119	-1.5625	-0.8454	-0.4921	0.3472	1.4844	-0.6878	-0.3998	0.1006	-0.5972	-0.7396	1.0411	0.5427
-0.1532	-4e-04	-0.2396	0.1619	0.1227	1.2286	2.3404	-1.2371	-1.0478	0.7838	1.4354	0.7198	0.2898	-0.2993
-0.2053	-0.315	-1.2846	-0.6108	-0.1028	-8.4873	-8.355	0.0426	-0.5117	0.5	-10.5278	-7.8929	-0.0627	-4.0968
0.3778	0.2352	-0.0563	0.1483	0.2264	-0.1291	0.0344	-0.317	-0.3216	-0.4465	-0.2633	-0.3309	-1.4078	-0.3213
-0.3689	0.2662	0.4114	5.4354	0.2179	-0.6629	2.8213	-1.2041	-0.3378	0.2335	14.6945	12.0148	1.1573	-0.034
-1.632	2.0141	0.1347	-0.8208	0.1169	-0.839	-1.6856	-1.5992	-0.7703	-0.1505	-4.3016	-4.0738	1.0432	-0.4426
-0.6144	-1.7606	-3.4837	-1.0629	-3.4579	-1.3651	-0.3425	-1.4503	-1.1828	-1.5775	0.067	-0.4852	-1.387	-0.9761
1.3632	-0.1796	0.2631	0.0593	-0.3105	2.8369	3.0309	-1.7809	-1.5887	3.1402	1.0675	0.3724	1.1401	-0.7282
1.2858	0.0747	-1.0856	0.6268	-0.0616	-0.2004	-0.7584	-0.4863	-0.7735	-0.7534	0.768	0.7705	0.3573	2.5133
-1.5346	0.2014	1.0753	-0.2835	0.4044	0.0347	0.0477	-0.2539	-0.9353	-0.468	-0.4703	-0.7872	-0.7015	0.1946
0.5964	-1.4669	-0.7675	-0.6817	-1.2115	-0.4743	-0.6705	0.7108	0.5223	0.9677	-1.3319	-0.7747	0.1253	0.3004
-0.7452	0.0076	-0.6729	-0.5806	-0.1498	-1.2235	-1.3083	-0.7178	-1.3051	-0.8494	-2.0861	-1.9264	0.4911	-0.4084
0.7485	0.0162	0.4307	-0.2664	-0.1761	0.7067	-0.0013	0.25	0.5343	1.2603	-1.0558	-0.7384	0.1873	0.1088
-0.5203	0.4637	0.9609	0.1741	0.3147	-0.3644	-0.4925	-0.3497	-0.5378	0.1988	-0.7091	-0.788	-0.7716	-0.7321
-0.1198	1.0213	0.7982	-0.1961	1.4688	-0.0875	-1.4244	1.0817	0.2432	-2.3143	-0.2441	0.0909	0.9763	-0.5143
1.4558	-3.1144	-1.0171	-1.1413	-3.9484	-1.1024	-4.1111	1.3983	-0.1125	1.1083	-1.5774	-0.6441	1.0216	1.4465
1.3614	0.4384	0.395	0.6096	0.1175	-0.134	-0.5252	0.2743	1.0418	1.317	1.0241	1.1082	0.0846	0.3084
-1.6738	-0.3912	-1.5867	-0.8398	0.6131	0.3472	3.7121	-0.7996	-0.2636	-1.4209	0.4421	-0.2518	-1.5553	-1.818
-2.4677	-1.0511	-0.3228	-0.5	-0.1365	-0.738	2.3815	0.0257	0.5121	-0.5624	-0.5258	-0.9731	-4.5151	0.6105
