spp_code,species,family,order,clade,VD.median,MST.median,ER.median,CR.median,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,rmin_binned
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,1.295427100997968,0.9025823705,0.8195155526285026,0.6502074625,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.06999999999999999
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,1.1637557864517796,0.9234673405,0.907503225338621,0.6300129805000001,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.08
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,1.0400451446932484,0.941400248,0.9268888773741975,0.600685582,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.09
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.9198670409358083,0.959909367,1.0979171498797164,0.535975156,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.09999999999999999
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.800041477049784,0.971472078,1.3242734022851927,0.464775365,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.11
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.7144205974074376,0.977889472,1.6014638887592814,0.368623741,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.12
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.6430624946301876,0.982702608,1.5769119062268506,0.412045895,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.13
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.575781904022695,0.9859790515,1.7700411729674537,0.20034902500000001,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.14
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.545488078696501,0.988630669,1.7368769910388013,0.233069906,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.15000000000000002
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.513924117939604,0.988683455,1.9438244529792292,0.322966631,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.16
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.47837773098253644,0.9882198035,1.736767877840905,0.326921831,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.17
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.4600327390523418,0.988443882,1.9438909838259963,0.325369374,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.18000000000000002
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,0.4488609478446527,0.989203112,1.7365894291685644,0.337390909,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.19
