spp_code,leaf_area,SLA,LMA,LDMC,VTotV,PS_M,PS_L,PSS_M,PSS_L,WP_M,WP_L,SWP_M,SWP_L,SS_M,SS_L,WS_M,WS_L,SWS_M,SWS_L,e_W,e_L,E_W,E_L,Kleaf_max,Dkleaf_M,Dkleaf_L,P50,P88,ISI,gsw_max,A_max,Phe
Equ_tel,2.02,15.4,64.92,186.06,1.09,NA,7.63,NA,36.04,NA,15,NA,77.16,NA,NA,NA,NA,NA,NA,14.45,NA,0.412,NA,7.3,NA,-1.51,NA,NA,0.27,NA,NA,2.11
Esc_her,25.51,12.75,78.44,276.39,190.61,64.18,8.55,157.83,46.85,187.75,13.42,455.57,73.35,1.21,0.14,0.84,0.77,829.84,3249.5,8.91,96.26,0.169,0.098,1.62,-81.54,-67.46,NA,NA,0.33,NA,NA,4.84
Euc_cri,2.04,6.16,162.41,510.82,6.07,NA,21.94,NA,63.26,NA,41.07,NA,118.3,11.83,0.92,1.18,2.25,2258.59,6827.64,29.47,39.83,0.133,0.091,28.99,-63.89,-62.41,NA,NA,0.53,NA,NA,6.96
Eur_jap,5.16,6.62,150.95,476.56,26.03,NA,33.98,NA,139.61,NA,63.44,NA,260.54,6.83,0.38,0.29,1.53,601.13,5920.35,2.95,25.51,0.032,0.07,2.45,-76.07,-47.36,NA,NA,0.42,NA,NA,2.41
Eus_jap,13.27,13.01,76.87,364.74,57.85,23.93,8.32,59.82,36.62,54.34,14.5,135.84,63.31,3.51,0.12,0.31,0.76,499.14,4487.42,0.67,NA,0.022,NA,9.4,-98.68,-98.73,NA,NA,0.24,NA,NA,6.4
Fra_son,140.04,14.06,71.12,147.08,2216.44,38.02,11.27,31.26,24.26,132.62,29,108.72,57.24,0.2,0.02,0.16,0.67,129.92,1460.66,90.38,78.85,0.281,0.063,1.63,-75.73,-90.31,0.66,1,0.24,68.94,7.57,6.64
Gom_keu,16.54,3.62,276.2,456.18,139.17,99.71,35.33,153.62,69.1,235.99,71.96,364,140.59,5.29,0.19,1.61,2.79,1715.99,4501.98,4.8,11.99,0.434,0.258,11.79,-74,-38.86,NA,NA,0.33,NA,NA,6.77
Hel_chi,7.83,11.35,88.09,319.52,18.55,19.45,8.57,51.2,36.54,59.4,22.05,156.32,94.35,1.55,0.13,0.4,0.66,544.69,2308.55,2.88,19.1,0.159,0.118,12.67,-47.82,-65.27,NA,NA,0.39,10.02,1.28,2.02
Hib_sca,9.73,10.9,91.72,215.56,35.94,33.59,21.39,37.82,53.05,117.93,48.33,132.67,120.1,3.03,0.22,0.51,1.45,737.11,4048.73,4.21,NA,0.07,NA,3.2,-66.45,-43.6,NA,NA,0.33,NA,NA,4.13
Ill_lan,24.02,8.97,111.47,348.92,132.84,NA,22.97,NA,72.21,NA,45.06,NA,141.87,3.62,0.15,0.86,1.53,1591.79,4090.29,5.81,18.57,0.089,0.098,12.4,-98.25,-98.42,0.16,0.51,0.35,55.35,5.48,1.27
Ite_ili,11.12,4.83,207.03,449.71,210.92,NA,33.29,NA,73.38,NA,93.99,NA,209.15,4.08,0.27,0.91,4.98,1450.33,18989.68,5.83,75.75,0.321,0.616,4.65,-63.64,13.43,NA,NA,0.38,NA,NA,4.68
