...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_minor,VD_medium,VD_major,MST_minor,MST_medium,MST_major,ER_minor,ER_medium,ER_major,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
34,Cor_lae,Corynocarpus laevigata,Corynocarpaceae,Cucurbitales,rosids,4.3518049215,0.367220206,0.052444709,0.6725395225,0.973498914,0.987704334,0.9254183735,1.389030717,1.394976245,99.85,635.89,136.09,1258.42,6161.07,3.95,13.73,-67.57,-79.64,-73.605,1.09,2.07,0.51,1.88,0.3,5
35,Cos_tap,Costus tappenbeckianus,Costaceae,Zingiberales,monocots,2.998419758,0.050571468,0,0.614867847,0.995191677,0,1.42850329,1.046091197,1.0472182835,55.84,107.82,88.62,889.25,4118.85,2.9,5.2,-77.93,-83.75,-80.84,1.44,0.89,NA,NA,0.22,3
36,Cri_pat,Crinodendron patagua,Elaeocarpaceae,Oxalidales,rosids,4.080530491,2.5777298135,0.39394018,0.694459966,0.7851929145,0.989092463,0.70556293,1.054318263,2.121384603,128.81,617.76,45.79,438.41,3048.4,14.41,NA,-94.05,-88.04,-91.045,5.77,12.4,NA,NA,0.32,5
37,Cup_nud,Cuphea nudicostata,Lythraceae,Myrtales,rosids,7.59056636,3.862831043,0.267452599,0.595295053,0.763807728,0.99185275,0.791797061,0.984599476,2.616707779,39.69,19.35,9.62,85.45,727.39,2.64,NA,-20.34,-73.02,-46.68,5.76,3.34,NA,NA,0.48,5
38,Cus_spi,Cussonia spicata,Araliaceae,Apiales,asterids,4.2386845875,0.116532604,0.074472193,0.7084271195,0.968493145,1,0.848468987,1.402785071,1.365450185,80.65,303.26,154.5,1444.49,4725.71,3.25,NA,-63.2,-82.84,-73.02,2.47,2.18,1.71,2.39,0.32,6
39,Cya_ful,Cyathea fulva,Cyatheaceae,Cyatheales,ferns,3.080889713,1.686806788,0.696158704,0.6035622485,0.823206795,0.946903424,1.4486175275,3.251084017,3.261355688,37.38,28.53,11.26,103.71,NA,2.57,NA,-98.55,-89.86,-94.205,1.21,0.93,NA,NA,0.31,1
40,Cyc_bip,Cyclanthus bipartitus,Cyclanthaceae,Pandanales,monocots,3.198022593,0.036900416,0.020923688,0.546763175,0.877536735,0.9306811885,1.701485472,3.400911414,3.421620913,57.1,228.95,170.2,622.98,5878.35,2.45,NA,-75.61,-58.14,-66.875,0.43,0.64,NA,NA,0.24,3
41,Dap_him,Daphniphyllum himalayense,Daphniphyllaceae,Saxifragales,basal eudicots,2.911808597,0.167668537,0.058548366,0.810245216,0.9804833325,0.9860068485,0.68044216,4.6402397845,2.100337737,121.62,185.2,138.05,1043.45,6564.48,0.93,7.98,-70.48,-79.31,-74.895,2.08,3.32,0.56,1.7,0.38,4
42,Del_fis,Delphinium fissum,Ranunculaceae,Ranunculales,basal eudicots,6.509017075,0.036170871,0.001802353,0.680523153,1,1,0.8708800735,0.303347842,0.303420098,90.58,99.81,86.03,394.86,5643.93,2.89,NA,-94.84,-95.37,-95.105,2.26,13.69,NA,NA,0.3,4
43,Des_spi,Desfontainia spinosa,Columelliaceae,Bruniales,asterids,2.30592719,1.479681983,0.2369197,0.7847746875,0.845267643,0.9985060165,0.715697185,1.001428506,0.6060263925,151.09,325.29,246.33,1075.82,5558.93,25.7,219.04,-96,-93.52,-94.76,1.31,26.53,0.29,0.98,0.57,6
44,Dic_ant,Dicksonia antarctica,Dicksoniaceae,Cyatheales,ferns,0,2.845142757,1.402993445,0,0.632583512,0.887826096,0,1.560109851,1.566818457,106.06,391.9,143.59,542.53,35020.8,63.3,NA,158.8,-12.7,73.05,2.66,0.19,2.27,6.87,0.25,1
45,Dic_feb,Hydrangea febrifuga,Hydrangeaceae,Cornales,asterids,1.457355241,0.604864726,0.124006038,0.718756303,0.8353776385,1,1.026911949,2.746081688,4.7060287225,61.13,141.4,61.67,566.1,2946.15,0.46,6.21,-53.01,-26.32,-39.665,2.85,1.55,NA,NA,0.36,6
