spp_code,rmin_binned,VD.median,MST.median,ER.median,CR.median,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Beg_for,0.3,2.396299117,0.716028442,0.778416196,0.606896593,Begonia formosa,Begonia formosa,(Hayata) Masam.,Begonia,Begoniaceae,Cucurbitales,rosids,20210315,"Mickey, Ilaine, Adrian, Eric",20050211,220C,Asia,herb,0.0371
Beg_for,0.6,0.078182446,0.969768734,0.2758557610000001,0.39707122500000003,Begonia formosa,Begonia formosa,(Hayata) Masam.,Begonia,Begoniaceae,Cucurbitales,rosids,20210315,"Mickey, Ilaine, Adrian, Eric",20050211,220C,Asia,herb,0.0371
Beg_for,0.9,0.022273222,0.975948942,0.276867089,0.37996149,Begonia formosa,Begonia formosa,(Hayata) Masam.,Begonia,Begoniaceae,Cucurbitales,rosids,20210315,"Mickey, Ilaine, Adrian, Eric",20050211,220C,Asia,herb,0.0371
Bei_tar,0.3,5.370629029,0.6766151250000001,0.5705246095,0.6979636625,Beilschmiedia tarairi,Beilschmiedia tarairi,(A. Cunn.) Kirk,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,20210331,"Mickey, Adrian",20010025,513,Australasia,tree,0.0918
Bei_tar,0.6,1.204705263,0.94446354,0.7398305780000001,0.584868549,Beilschmiedia tarairi,Beilschmiedia tarairi,(A. Cunn.) Kirk,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,20210331,"Mickey, Adrian",20010025,513,Australasia,tree,0.0918
Bei_tar,0.9,0.141976082,0.990407635,1.657290337,0.51576533,Beilschmiedia tarairi,Beilschmiedia tarairi,(A. Cunn.) Kirk,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,20210331,"Mickey, Adrian",20010025,513,Australasia,tree,0.0918
Bux_har,0.3,6.785980509,0.539469073,2.774865878,0.426540455,Buxus harlandii,Buxus harlandii,Hance,Buxus,Buxaceae,Buxales,basal eudicots,20210803; 20210913,"Ilaine, Mickey, Adrian; Ilaine, James",790114,242,Asia,shrub,0.1312
Bux_har,0.6,4.937971326,0.694689928,4.138205871,0.302810895,Buxus harlandii,Buxus harlandii,Hance,Buxus,Buxaceae,Buxales,basal eudicots,20210803; 20210913,"Ilaine, Mickey, Adrian; Ilaine, James",790114,242,Asia,shrub,0.1312
Bux_har,0.9,1.551110824,0.967950126,2.1397904,0.467325215,Buxus harlandii,Buxus harlandii,Hance,Buxus,Buxaceae,Buxales,basal eudicots,20210803; 20210913,"Ilaine, Mickey, Adrian; Ilaine, James",790114,242,Asia,shrub,0.1312
Cal_nut,0.3,7.67627e-4,1,59.36545006,0.050261099,Calamagrostis nutkaensis,Deyeuxia nutkaensis,(J. Presl) Steud.,Deyeuxia,Poaceae,Poales,monocots,20210616,"Mickey, Adrian, Somona, James, Sophia",891820,4,California,herb,0.013
Cal_nut,0.6,0,1,15.689440165,0.1700389685,Calamagrostis nutkaensis,Deyeuxia nutkaensis,(J. Presl) Steud.,Deyeuxia,Poaceae,Poales,monocots,20210616,"Mickey, Adrian, Somona, James, Sophia",891820,4,California,herb,0.013
