spp_code,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Bei_tar,Beilschmiedia tarairi,Beilschmiedia tarairi,(A. Cunn.) Kirk,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,20210331,"Mickey, Adrian",20010025,513,Australasia,tree,0.0918
Bux_har,Buxus harlandii,Buxus harlandii,Hance,Buxus,Buxaceae,Buxales,basal eudicots,20210803; 20210913,"Ilaine, Mickey, Adrian; Ilaine, James",790114,242,Asia,shrub,0.1312
Cal_nut,Calamagrostis nutkaensis ,Deyeuxia nutkaensis,(J. Presl) Steud.,Deyeuxia,Poaceae,Poales,monocots,20210616,"Mickey, Adrian, Somona, James, Sophia",891820,4,California,herb,0.013
Cal_pan,Caldcluvia paniculosa,Ackama paniculosa,(F.Muell.) Hoogland,Ackama,Cunoniaceae,Oxalidales,rosids,20210331; 20210915,"Mickey, Adrian; Mickey, James",20010597,513,Australasia,tree,0.092
Cam_sin,Camellia sinensis,Camellia sinensis,(L.) Kuntze,Camellia,Theaceae,Ericales,asterids,20210224,"Ilaine, Mickey, Eric",820215,235,Asia,tree,0.0496
Can_can,Canarina canariensis,Canarina canariensis,(L.) Vatke,Canarina,Campanulaceae,Asterales,asterids,20210517,"Mickey, Ilaine, Gideon",611429,707B,Mediterranean,climbing,0.0692
Car_pal,Carya palmeri,Carya palmeri,W.E. Manning,Carya,Juglandaceae,Fagales,rosids,20210726,"Mickey,Somona,James",970479,378,Mexico/Central America,tree,0.0705
Car_pen,Carex pendula,Carex agastachys,Huds.,Carex,Cyperaceae,Poales,monocots,20210526,"Mickey, Adrian,Gideon",20120329,703,Mediterranean,herb,0.0107
Cat_edu,Catha edulis,Catha edulis,Forssk.,Catha,Celastraceae,Celastrales,rosids,20210208; 20210802,"Mickey, Ilaine, Ben; Mickey, Ilaine, Ethan",780415,143,Africa,tree,0.1571
Cel_aus,Celtis australis,Celtis australis,L.,Celtis,Cannabaceae,Rosales,rosids,20210519,"Ilaine, Mickey, Gideon",790592,701,Mediterranean,tree,0.1721
Cel_ten,Celtis tenufolia,Celtis tenuifolia,Nutt.,Celtis,Cannabaceae,Rosales,rosids,20210726,"Mickey,Somona,James",820564,304,Eastern North America,tree,0.1721
Chi_nit,Chimonanthus nitens,Chimonanthus nitens,Oliv.,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,20210317,"Mickey, Ilaine, Adrian, Eric",760477,245C,Asia,tree,0.1099
Chl_spi,Chloranthus spicatus,Chloranthus spicatus,(Thunb.) Makino,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,20210816,Mickey,870468,Greenhouse 2,Tropical house,shrub,0.3052
Cis_ant,Cissus antarctica,Cissus antarctica,Vent.,Cissus,Vitaceae,Vitales,rosids,20210329,"Ilaine, Mickey, Adrian, James",20010620,505,Australasia,climbing,0.1069
Cis_pop,Cistus populifolius,Cistus populifolius,L.,Cistus,Cistaceae,Malvales,rosids,20210517,"Mickey, Ilaine, Gideon",20041097,700B,Mediterranean,shrub,0.0222
Cit_mon,Citharexylum montevidense,Citharexylum montevidense,(Spreng.) Moldenke,Citharexylum,Verbenaceae,Lamiales,asterids,20210428,"Mickey, Adrian, Noah",20140599,653,South-America,tree,0.0383
Clu_ala,Clusia alata,Clusia alata,Planch. & Triana,Clusia,Clusiaceae,Malpighiales,rosids,20210721,"Ilaine, Sonoma, James",891280,359,Mexico/Central America,tree,0.1266
Cne_tri,Cneorum tricoccon,Cneorum tricoccon,L.,Cneorum,Rutaceae,Sapindales,rosids,20210524,"Mickey, Adrian,James",20041196,702,Mediterranean,shrub,0.1722
Com_ery,Combretum erythrophyllum,Combretum erythrophyllum,Sond.,Combretum,Combretaceae,Myrtales,rosids,20210210,"Ilaine, Mickey; Mickey, Ilaine, Ethan",730581,144,Africa,tree,0.2631
Com_umb,Comandar umbellata,Comandra umbellata,(L.) Nutt.,Comandra,Comandraceae,Santalales,rosids,20210706,"Mickey, Adrian, Lisa, James, Sophia",941236,23B,California,shrub,0.2529
