...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
42,Del_fis,Delphinium fissum,Ranunculaceae,Ranunculales,basal eudicots,2.551277538,0.190186411,0.042454128,0.680523153,1,1,0.933209555,0.550770226,0.550835818,90.58,99.81,86.03,394.86,5643.93,2.89,NA,-94.84,-95.37,-95.105,2.26,13.69,NA,NA,0.3,4
43,Des_spi,Desfontainia spinosa,Columelliaceae,Bruniales,asterids,1.518527968,1.216421795,0.486743978,0.784774688,0.845267643,0.998506017,0.84598888,1.000713998,0.77847697,151.09,325.29,246.33,1075.82,5558.93,25.7,219.04,-96,-93.52,-94.76,1.31,26.53,0.29,0.98,0.57,6
44,Dic_ant,Dicksonia antarctica,Dicksoniaceae,Cyatheales,ferns,0,1.686755097,1.184480243,0,0.632583512,0.887826096,0,1.249043575,1.251726191,106.06,391.9,143.59,542.53,35020.8,63.3,NA,158.8,-12.7,73.05,2.66,0.19,2.27,6.87,0.25,1
45,Dic_feb,Hydrangea febrifuga,Hydrangeaceae,Cornales,asterids,1.207209692,0.777730497,0.352144911,0.718756303,0.835377639,1,1.013366641,1.657130559,2.169338315,61.13,141.4,61.67,566.1,2946.15,0.46,6.21,-53.01,-26.32,-39.665,2.85,1.55,NA,NA,0.36,6
46,Dic_squ,Dicksonia squarrosa,Dicksoniaceae,Cyatheales,ferns,1.482579604,1.241811294,0.846810642,0.779366785,0.850882449,0.969253372,1.059319562,1.064761271,1.129916023,123.52,636.78,142.62,556.34,48815.26,69.01,NA,414.25,175.69,294.97,3.92,0.24,NA,NA,0.31,1
47,Dio_lyc,Diospyros lycioides,Ebenaceae,Ericales,asterids,1.918011748,1.075444176,0.324579064,0.649136751,0.90267757,1,0.847069654,1.213306205,1.521285806,101.78,27.74,46.53,577.58,3306.71,0.62,NA,0,-38.74,-19.37,6.68,32.91,NA,NA,0.34,6
48,Dio_pol,Dioscorea oppositifolia,Dioscoreaceae,Dioscoreales,monocots,1.857847302,1.230994919,0.377203336,0.745171958,0.885584197,1,0.869358926,1.043339248,0.443367283,46.6,198.13,96.73,142.04,3064.74,24.27,NA,-85.86,-91.06,-88.46,1.27,0.91,NA,NA,0.26,3
49,Dip_esc,Diplazium esculentum,Athyriaceae,Polypodiales,ferns,1.893298009,1.256907611,0.512671941,0.612397897,0.817920469,1,1.655010699,1.717082003,1.778856182,43.25,24.16,58.83,499.66,13565.37,16.63,NA,-92.21,-91.7,-91.955,5.06,7.51,0.49,0.96,0.2,1
50,Dir_occ,Dirca occidentalis,Thymelaeaceae,Malvales,rosids,2.910241669,2.091710913,0.61408221,0.63624385,0.816888818,0.982621828,0.802070829,0.823343014,0.418589656,42.52,183.48,196.15,643.2,4218.45,4.16,5.66,-52.67,-85.16,-68.915,1.83,6.68,NA,NA,0.48,5
51,Doo_asp,Doodia aspera,Blechnaceae,Polypodiales,ferns,1.358003582,1.130369593,0.752668873,0.6062728,0.799001123,0.989468318,0.964057619,0.944114097,1.029803963,119.71,430.26,255.77,498.89,8330.02,115.59,NA,-97.4,-97.1,-97.25,5.12,1.19,2.24,3.33,0.41,1
