spp_code,rmin_binned,VD.median,MST.median,ER.median,CR.median,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Car_pal,0.5,4.48321881,0.606779161,0.5117714685,0.688809491,Carya palmeri,Carya palmeri,W.E. Manning,Carya,Juglandaceae,Fagales,rosids,20210726,"Mickey,Somona,James",970479,378,Mexico/Central America,tree,0.0705
Car_pal,1,3.520542145,0.672759019,0.5360523070000001,0.642741523,Carya palmeri,Carya palmeri,W.E. Manning,Carya,Juglandaceae,Fagales,rosids,20210726,"Mickey,Somona,James",970479,378,Mexico/Central America,tree,0.0705
Car_pal,1.5,1.309876182,0.84243537,1.3971230345,0.345391778,Carya palmeri,Carya palmeri,W.E. Manning,Carya,Juglandaceae,Fagales,rosids,20210726,"Mickey,Somona,James",970479,378,Mexico/Central America,tree,0.0705
Car_pen,0.5,5.166875473499999,0.412968789,20.371377195,0.129409127,Carex pendula,Carex agastachys,Huds.,Carex,Cyperaceae,Poales,monocots,20210526,"Mickey, Adrian,Gideon",20120329,703,Mediterranean,herb,0.0107
Car_pen,1,3.893054816,0.662079653,18.04225494,0.122606626,Carex pendula,Carex agastachys,Huds.,Carex,Cyperaceae,Poales,monocots,20210526,"Mickey, Adrian,Gideon",20120329,703,Mediterranean,herb,0.0107
Car_pen,1.5,0.005428026,1,1.2124495729999998,0.688031139,Carex pendula,Carex agastachys,Huds.,Carex,Cyperaceae,Poales,monocots,20210526,"Mickey, Adrian,Gideon",20120329,703,Mediterranean,herb,0.0107
Cat_edu,0.5,4.7062205465,0.6242743479999999,0.8092142595,0.6534813724999999,Catha edulis,Catha edulis,Forssk.,Catha,Celastraceae,Celastrales,rosids,20210208; 20210802,"Mickey, Ilaine, Ben; Mickey, Ilaine, Ethan",780415,143,Africa,tree,0.1571
Cat_edu,1,2.894529028,0.772677605,1.078386583,0.592713992,Catha edulis,Catha edulis,Forssk.,Catha,Celastraceae,Celastrales,rosids,20210208; 20210802,"Mickey, Ilaine, Ben; Mickey, Ilaine, Ethan",780415,143,Africa,tree,0.1571
Cat_edu,1.5,0.1439898385,0.998878343,2.087809799,0.2225416855,Catha edulis,Catha edulis,Forssk.,Catha,Celastraceae,Celastrales,rosids,20210208; 20210802,"Mickey, Ilaine, Ben; Mickey, Ilaine, Ethan",780415,143,Africa,tree,0.1571
Cel_aus,0.5,0.089699772,0.64880318,0.589631134,0.706694619,Celtis australis,Celtis australis,L.,Celtis,Cannabaceae,Rosales,rosids,20210519,"Ilaine, Mickey, Gideon",790592,701,Mediterranean,tree,0.1721
Cel_aus,1,0.050273853,0.787882243,0.6392296049999999,0.668264079,Celtis australis,Celtis australis,L.,Celtis,Cannabaceae,Rosales,rosids,20210519,"Ilaine, Mickey, Gideon",790592,701,Mediterranean,tree,0.1721
Cel_aus,1.5,0.002944834,1,1.527842305,0.304759133,Celtis australis,Celtis australis,L.,Celtis,Cannabaceae,Rosales,rosids,20210519,"Ilaine, Mickey, Gideon",790592,701,Mediterranean,tree,0.1721
Cel_ten,0.5,4.6654551,0.611828044,0.6046620760000001,0.710790197,Celtis tenufolia,Celtis tenuifolia,Nutt.,Celtis,Cannabaceae,Rosales,rosids,20210726,"Mickey,Somona,James",820564,304,Eastern North America,tree,0.1721
Cel_ten,1,3.21186053,0.700741826,0.5985044319999999,0.683401691,Celtis tenufolia,Celtis tenuifolia,Nutt.,Celtis,Cannabaceae,Rosales,rosids,20210726,"Mickey,Somona,James",820564,304,Eastern North America,tree,0.1721
Cel_ten,1.5,0.723248346,0.955792262,1.290497694,0.471823952,Celtis tenufolia,Celtis tenuifolia,Nutt.,Celtis,Cannabaceae,Rosales,rosids,20210726,"Mickey,Somona,James",820564,304,Eastern North America,tree,0.1721
Chi_nit,0.5,2.477171681,0.697595488,0.5232623249999999,0.725799139,Chimonanthus nitens,Chimonanthus nitens,Oliv.,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,20210317,"Mickey, Ilaine, Adrian, Eric",760477,245C,Asia,tree,0.1099
Chi_nit,1,1.3227053755,0.7849065755,0.657160988,0.681354739,Chimonanthus nitens,Chimonanthus nitens,Oliv.,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,20210317,"Mickey, Ilaine, Adrian, Eric",760477,245C,Asia,tree,0.1099
Chi_nit,1.5,0.10677495649999999,0.9972416470000001,2.064770099,0.3358058505,Chimonanthus nitens,Chimonanthus nitens,Oliv.,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,20210317,"Mickey, Ilaine, Adrian, Eric",760477,245C,Asia,tree,0.1099
Chl_spi,0.5,3.644816,0.802249312,0.713196747,0.608437141,Chloranthus spicatus,Chloranthus spicatus,(Thunb.) Makino,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,20210816,Mickey,870468,Greenhouse 2,Tropical house,shrub,0.3052
Chl_spi,1,1.7898060034999999,0.8259413115,1.0372979205,0.5736334665,Chloranthus spicatus,Chloranthus spicatus,(Thunb.) Makino,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,20210816,Mickey,870468,Greenhouse 2,Tropical house,shrub,0.3052
Chl_spi,1.5,0.0794861945,0.9936274949999999,0.9761425665,0.4323749605,Chloranthus spicatus,Chloranthus spicatus,(Thunb.) Makino,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,20210816,Mickey,870468,Greenhouse 2,Tropical house,shrub,0.3052
Cis_ant,0.5,7.72584218,0.586947584,0.7437931935,0.6614281074999999,Cissus antarctica,Cissus antarctica,Vent.,Cissus,Vitaceae,Vitales,rosids,20210329,"Ilaine, Mickey, Adrian, James",20010620,505,Australasia,climbing,0.1069
Cis_ant,1,5.6387346175,0.700919234,0.663874191,0.6466645975,Cissus antarctica,Cissus antarctica,Vent.,Cissus,Vitaceae,Vitales,rosids,20210329,"Ilaine, Mickey, Adrian, James",20010620,505,Australasia,climbing,0.1069
Cis_ant,1.5,0.990969228,0.9548844160000001,0.922688182,0.5773812279999999,Cissus antarctica,Cissus antarctica,Vent.,Cissus,Vitaceae,Vitales,rosids,20210329,"Ilaine, Mickey, Adrian, James",20010620,505,Australasia,climbing,0.1069
Cis_pop,0.5,8.009503662,0.707310194,0.632706098,0.6450304579999999,Cistus populifolius,Cistus populifolius,L.,Cistus,Cistaceae,Malvales,rosids,20210517,"Mickey, Ilaine, Gideon",20041097,700B,Mediterranean,shrub,0.0222
Cis_pop,1,1.43074567,0.943081213,0.912644003,0.56518385,Cistus populifolius,Cistus populifolius,L.,Cistus,Cistaceae,Malvales,rosids,20210517,"Mickey, Ilaine, Gideon",20041097,700B,Mediterranean,shrub,0.0222
Cis_pop,1.5,0.10180330900000001,0.9984387960000001,0.5552813005,0.2887815855,Cistus populifolius,Cistus populifolius,L.,Cistus,Cistaceae,Malvales,rosids,20210517,"Mickey, Ilaine, Gideon",20041097,700B,Mediterranean,shrub,0.0222
Cit_mon,0.5,7.038028569,0.6173488444999999,0.6515623685,0.7064371935,Citharexylum montevidense,Citharexylum montevidense,(Spreng.) Moldenke,Citharexylum,Verbenaceae,Lamiales,asterids,20210428,"Mickey, Adrian, Noah",20140599,653,South-America,tree,0.0383
Cit_mon,1,4.883827678,0.715027588,0.668928212,0.680267139,Citharexylum montevidense,Citharexylum montevidense,(Spreng.) Moldenke,Citharexylum,Verbenaceae,Lamiales,asterids,20210428,"Mickey, Adrian, Noah",20140599,653,South-America,tree,0.0383
Cit_mon,1.5,0.773503466,0.956698622,1.277642589,0.5199950635,Citharexylum montevidense,Citharexylum montevidense,(Spreng.) Moldenke,Citharexylum,Verbenaceae,Lamiales,asterids,20210428,"Mickey, Adrian, Noah",20140599,653,South-America,tree,0.0383
